Pair,Delta (mHz)
1.258416-1.005587,0.252829
1.260032-1.005587,0.254445
1.260620-1.005587,0.255033
1.260913-1.005587,0.255327
1.261795-1.005587,0.256208
1.263558-1.005587,0.257971
1.265027-1.005587,0.259440
1.267671-1.005587,0.262084
1.273400-1.005587,0.267814
1.273988-1.005587,0.268401
1.274282-1.005587,0.268695
1.277955-1.005587,0.272368
1.278395-1.005587,0.272809
1.285153-1.005587,0.279566
1.293380-1.005587,0.287793
1.294115-1.005587,0.288528
1.294555-1.005587,0.288969
1.295731-1.005587,0.290144
1.302341-1.005587,0.296755
1.302782-1.005587,0.297195
1.309834-1.005587,0.304247
1.311303-1.005587,0.305716
1.312037-1.005587,0.306450
1.319236-1.005587,0.313649
1.326875-1.005587,0.321288
1.328344-1.005587,0.322757
1.328638-1.005587,0.323051
1.335836-1.005587,0.330250
1.336424-1.005587,0.330837
1.338922-1.005587,0.333335
1.339362-1.005587,0.333776
1.340097-1.005587,0.334510
1.341860-1.005587,0.336273
1.349352-1.005587,0.343765
1.349793-1.005587,0.344206
1.354053-1.005587,0.348466
1.376236-1.005587,0.370649
1.377705-1.005587,0.372119
1.381672-1.005587,0.376085
1.385785-1.005587,0.380199
1.386226-1.005587,0.380639
1.386667-1.005587,0.381080
1.386961-1.005587,0.381374
1.388283-1.005587,0.382696
1.389605-1.005587,0.384018
1.400770-1.005587,0.395183
1.411200-1.005587,0.405614
1.415608-1.005587,0.410021
1.416783-1.005587,0.411196
1.421778-1.005587,0.416191
1.422659-1.005587,0.417072
1.423247-1.005587,0.417660
1.423541-1.005587,0.417954
1.442198-1.005587,0.436611
1.467907-1.005587,0.462320
1.468495-1.005587,0.462908
1.469523-1.005587,0.463936
1.476134-1.005587,0.470547
1.477897-1.005587,0.472310
1.483626-1.005587,0.478039
1.491853-1.005587,0.486266
1.493469-1.005587,0.487882
1.496848-1.005587,0.491261
1.499639-1.005587,0.494052
1.500961-1.005587,0.495375
1.504046-1.005587,0.498460
1.504487-1.005587,0.498900
1.504781-1.005587,0.499194
1.505369-1.005587,0.499782
1.510951-1.005587,0.505364
1.513449-1.005587,0.507862
1.543271-1.005587,0.537684
1.545915-1.005587,0.540328
1.547091-1.005587,0.541504
1.547972-1.005587,0.542385
1.548853-1.005587,0.543267
1.550029-1.005587,0.544442
1.550469-1.005587,0.544883
1.551645-1.005587,0.546058
1.552232-1.005587,0.546646
1.552526-1.005587,0.546939
1.553114-1.005587,0.547527
1.564866-1.005587,0.559280
1.577500-1.005587,0.571914
1.578235-1.005587,0.572648
1.588078-1.005587,0.582491
1.588959-1.005587,0.583373
1.589400-1.005587,0.583813
1.589841-1.005587,0.584254
1.590281-1.005587,0.584695
1.590575-1.005587,0.584989
1.592044-1.005587,0.586458
1.593660-1.005587,0.588074
1.599684-1.005587,0.594097
1.603209-1.005587,0.597623
1.603944-1.005587,0.598357
1.611143-1.005587,0.605556
1.613346-1.005587,0.607759
1.623630-1.005587,0.618043
1.630681-1.005587,0.625095
1.631269-1.005587,0.625682
1.631857-1.005587,0.626270
1.632885-1.005587,0.627298
1.633472-1.005587,0.627886
1.634648-1.005587,0.629061
1.636411-1.005587,0.630824
1.636851-1.005587,0.631265
1.637145-1.005587,0.631558
1.637586-1.005587,0.631999
1.638467-1.005587,0.632881
1.640818-1.005587,0.635231
1.652717-1.005587,0.647131
1.664764-1.005587,0.659177
1.667261-1.005587,0.661675
1.672550-1.005587,0.666963
1.672991-1.005587,0.667404
1.673285-1.005587,0.667698
1.673725-1.005587,0.668139
1.674313-1.005587,0.668726
1.674754-1.005587,0.669167
1.675048-1.005587,0.669461
1.677251-1.005587,0.671664
1.678427-1.005587,0.672840
1.689738-1.005587,0.684152
1.694586-1.005587,0.689000
1.700610-1.005587,0.695023
1.707514-1.005587,0.701928
1.716770-1.005587,0.711183
1.717063-1.005587,0.711477
1.717504-1.005587,0.711917
1.717798-1.005587,0.712211
1.718385-1.005587,0.712799
1.720589-1.005587,0.715002
1.721617-1.005587,0.716031
1.722205-1.005587,0.716618
1.722646-1.005587,0.717059
1.724115-1.005587,0.718528
1.744829-1.005587,0.739242
1.751587-1.005587,0.746000
1.756729-1.005587,0.751142
1.757022-1.005587,0.751436
1.757463-1.005587,0.751876
1.757757-1.005587,0.752170
1.758051-1.005587,0.752464
1.758491-1.005587,0.752905
1.759079-1.005587,0.753492
1.759667-1.005587,0.754080
1.759961-1.005587,0.754374
1.760401-1.005587,0.754814
1.799626-1.005587,0.794039
1.800213-1.005587,0.794627
1.800654-1.005587,0.795067
1.800948-1.005587,0.795361
1.801389-1.005587,0.795802
1.801682-1.005587,0.796096
1.802123-1.005587,0.796536
1.802564-1.005587,0.796977
1.804180-1.005587,0.798593
1.804621-1.005587,0.799034
1.805208-1.005587,0.799622
1.805502-1.005587,0.799915
1.805796-1.005587,0.800209
1.806090-1.005587,0.800503
1.806530-1.005587,0.800944
1.809469-1.005587,0.803882
1.834296-1.005587,0.828709
1.838997-1.005587,0.833410
1.841641-1.005587,0.836055
1.842523-1.005587,0.836936
1.842964-1.005587,0.837377
1.843257-1.005587,0.837671
1.844139-1.005587,0.838552
1.845167-1.005587,0.839581
1.856773-1.005587,0.851186
1.885126-1.005587,0.879540
1.885420-1.005587,0.879833
1.885714-1.005587,0.880127
1.886008-1.005587,0.880421
1.887036-1.005587,0.881449
1.888946-1.005587,0.883359
1.889681-1.005587,0.884094
1.889974-1.005587,0.884388
1.890268-1.005587,0.884681
1.891003-1.005587,0.885416
1.921853-1.005587,0.916267
1.925526-1.005587,0.919939
1.927436-1.005587,0.921849
1.927877-1.005587,0.922290
1.928758-1.005587,0.923171
1.929052-1.005587,0.923465
1.938748-1.005587,0.933161
1.947269-1.005587,0.941682
1.969599-1.005587,0.964012
1.971949-1.005587,0.966362
1.972684-1.005587,0.967097
1.973859-1.005587,0.968272
1.974593-1.005587,0.969007
1.988403-1.005587,0.982816
1.988697-1.005587,0.983110
2.003828-1.005587,0.998241
2.011174-1.005587,1.005587
2.011614-1.005587,1.006028
2.012349-1.005587,1.006762
2.013230-1.005587,1.007644
2.015581-1.005587,1.009994
2.049663-1.005587,1.044077
2.056274-1.005587,1.050688
2.060388-1.005587,1.054801
2.061122-1.005587,1.055536
2.091239-1.005587,1.085652
2.095499-1.005587,1.089912
2.098584-1.005587,1.092997
2.103432-1.005587,1.097845
2.114009-1.005587,1.108423
2.136046-1.005587,1.130459
2.168806-1.005587,1.163219
2.173801-1.005587,1.168214
2.183644-1.005587,1.178057
2.208178-1.005587,1.202591
2.215964-1.005587,1.210377
2.225807-1.005587,1.220220
2.226541-1.005587,1.220954
2.277959-1.005587,1.272372
2.312923-1.005587,1.307336
2.316890-1.005587,1.311303
2.381089-1.005587,1.375502
2.416200-1.005587,1.410613
2.442496-1.005587,1.436909
2.447197-1.005587,1.441610
2.473934-1.005587,1.468348
2.494061-1.005587,1.488474
1.012051-1.006028,0.006023
1.019249-1.006028,0.013222
1.023510-1.006028,0.017482
1.025273-1.006028,0.019245
1.028798-1.006028,0.022771
1.035850-1.006028,0.029822
1.039670-1.006028,0.033642
1.043636-1.006028,0.037608
1.044958-1.006028,0.038931
1.052744-1.006028,0.046717
1.054948-1.006028,0.048920
1.056858-1.006028,0.050830
1.057739-1.006028,0.051712
1.061118-1.006028,0.055091
1.061559-1.006028,0.055531
1.063615-1.006028,0.057588
1.072136-1.006028,0.066109
1.074928-1.006028,0.068900
1.077278-1.006028,0.071251
1.078306-1.006028,0.072279
1.083742-1.006028,0.077714
1.085211-1.006028,0.079183
1.086239-1.006028,0.080212
1.090353-1.006028,0.084325
1.096523-1.006028,0.090496
1.098873-1.006028,0.092846
1.104456-1.006028,0.098428
1.112242-1.006028,0.106215
1.115033-1.006028,0.109006
1.119000-1.006028,0.112972
1.120763-1.006028,0.114735
1.121204-1.006028,0.115176
1.121644-1.006028,0.115617
1.126051-1.006028,0.120024
