Pair,Delta (mHz)
2.183644-1.637145,0.546499
2.208178-1.637145,0.571032
2.215964-1.637145,0.578818
2.225807-1.637145,0.588661
2.226541-1.637145,0.589396
2.277959-1.637145,0.640814
2.312923-1.637145,0.675778
2.316890-1.637145,0.679744
2.381089-1.637145,0.743943
2.416200-1.637145,0.779054
2.442496-1.637145,0.805351
2.447197-1.637145,0.810052
2.473934-1.637145,0.836789
2.494061-1.637145,0.856916
1.638467-1.637586,0.000881
1.640818-1.637586,0.003232
1.652717-1.637586,0.015131
1.664764-1.637586,0.027178
1.667261-1.637586,0.029675
1.672550-1.637586,0.034964
1.672991-1.637586,0.035405
1.673285-1.637586,0.035699
1.673725-1.637586,0.036139
1.674313-1.637586,0.036727
1.674754-1.637586,0.037168
1.675048-1.637586,0.037462
1.677251-1.637586,0.039665
1.678427-1.637586,0.040841
1.689738-1.637586,0.052152
1.694586-1.637586,0.057000
1.700610-1.637586,0.063024
1.707514-1.637586,0.069928
1.716770-1.637586,0.079184
1.717063-1.637586,0.079477
1.717504-1.637586,0.079918
1.717798-1.637586,0.080212
1.718385-1.637586,0.080799
1.720589-1.637586,0.083003
1.721617-1.637586,0.084031
1.722205-1.637586,0.084619
1.722646-1.637586,0.085060
1.724115-1.637586,0.086529
1.744829-1.637586,0.107243
1.751587-1.637586,0.114001
1.756729-1.637586,0.119143
1.757022-1.637586,0.119436
1.757463-1.637586,0.119877
1.757757-1.637586,0.120171
1.758051-1.637586,0.120465
1.758491-1.637586,0.120905
1.759079-1.637586,0.121493
1.759667-1.637586,0.122081
1.759961-1.637586,0.122375
1.760401-1.637586,0.122815
1.799626-1.637586,0.162040
1.800213-1.637586,0.162627
1.800654-1.637586,0.163068
1.800948-1.637586,0.163362
1.801389-1.637586,0.163803
1.801682-1.637586,0.164096
1.802123-1.637586,0.164537
1.802564-1.637586,0.164978
1.804180-1.637586,0.166594
1.804621-1.637586,0.167035
1.805208-1.637586,0.167622
1.805502-1.637586,0.167916
1.805796-1.637586,0.168210
1.806090-1.637586,0.168504
1.806530-1.637586,0.168944
1.809469-1.637586,0.171883
1.834296-1.637586,0.196710
1.838997-1.637586,0.201411
1.841641-1.637586,0.204055
1.842523-1.637586,0.204937
1.842964-1.637586,0.205378
1.843257-1.637586,0.205672
1.844139-1.637586,0.206553
1.845167-1.637586,0.207581
1.856773-1.637586,0.219187
1.885126-1.637586,0.247540
1.885420-1.637586,0.247834
1.885714-1.637586,0.248128
1.886008-1.637586,0.248422
1.887036-1.637586,0.249450
1.888946-1.637586,0.251360
1.889681-1.637586,0.252095
1.889974-1.637586,0.252388
1.890268-1.637586,0.252682
1.891003-1.637586,0.253417
1.921853-1.637586,0.284267
1.925526-1.637586,0.287940
1.927436-1.637586,0.289850
1.927877-1.637586,0.290291
1.928758-1.637586,0.291172
1.929052-1.637586,0.291466
1.938748-1.637586,0.301162
1.947269-1.637586,0.309683
1.969599-1.637586,0.332013
1.971949-1.637586,0.334363
1.972684-1.637586,0.335098
1.973859-1.637586,0.336273
1.974593-1.637586,0.337007
1.988403-1.637586,0.350817
1.988697-1.637586,0.351111
2.003828-1.637586,0.366242
2.011174-1.637586,0.373588
2.011614-1.637586,0.374028
2.012349-1.637586,0.374763
2.013230-1.637586,0.375644
2.015581-1.637586,0.377995
2.049663-1.637586,0.412077
2.056274-1.637586,0.418688
2.060388-1.637586,0.422802
2.061122-1.637586,0.423536
2.091239-1.637586,0.453653
2.095499-1.637586,0.457913
2.098584-1.637586,0.460998
2.103432-1.637586,0.465846
2.114009-1.637586,0.476423
2.136046-1.637586,0.498460
2.168806-1.637586,0.531220
2.173801-1.637586,0.536215
2.183644-1.637586,0.546058
2.208178-1.637586,0.570592
2.215964-1.637586,0.578378
2.225807-1.637586,0.588221
2.226541-1.637586,0.588955
2.277959-1.637586,0.640373
2.312923-1.637586,0.675337
2.316890-1.637586,0.679304
2.381089-1.637586,0.743503
2.416200-1.637586,0.778614
2.442496-1.637586,0.804910
2.447197-1.637586,0.809611
2.473934-1.637586,0.836348
2.494061-1.637586,0.856475
1.640818-1.638467,0.002351
1.652717-1.638467,0.014250
1.664764-1.638467,0.026297
1.667261-1.638467,0.028794
1.672550-1.638467,0.034083
1.672991-1.638467,0.034523
1.673285-1.638467,0.034817
1.673725-1.638467,0.035258
1.674313-1.638467,0.035846
1.674754-1.638467,0.036286
1.675048-1.638467,0.036580
1.677251-1.638467,0.038784
1.678427-1.638467,0.039959
1.689738-1.638467,0.051271
1.694586-1.638467,0.056119
1.700610-1.638467,0.062142
1.707514-1.638467,0.069047
1.716770-1.638467,0.078302
1.717063-1.638467,0.078596
1.717504-1.638467,0.079037
1.717798-1.638467,0.079330
1.718385-1.638467,0.079918
1.720589-1.638467,0.082122
1.721617-1.638467,0.083150
1.722205-1.638467,0.083738
1.722646-1.638467,0.084178
1.724115-1.638467,0.085648
1.744829-1.638467,0.106362
1.751587-1.638467,0.113119
1.756729-1.638467,0.118261
1.757022-1.638467,0.118555
1.757463-1.638467,0.118996
1.757757-1.638467,0.119290
1.758051-1.638467,0.119583
1.758491-1.638467,0.120024
1.759079-1.638467,0.120612
1.759667-1.638467,0.121199
1.759961-1.638467,0.121493
1.760401-1.638467,0.121934
1.799626-1.638467,0.161158
1.800213-1.638467,0.161746
1.800654-1.638467,0.162187
1.800948-1.638467,0.162481
1.801389-1.638467,0.162921
1.801682-1.638467,0.163215
1.802123-1.638467,0.163656
1.802564-1.638467,0.164097
1.804180-1.638467,0.165713
1.804621-1.638467,0.166153
1.805208-1.638467,0.166741
1.805502-1.638467,0.167035
1.805796-1.638467,0.167329
1.806090-1.638467,0.167622
1.806530-1.638467,0.168063
1.809469-1.638467,0.171001
1.834296-1.638467,0.195829
1.838997-1.638467,0.200530
1.841641-1.638467,0.203174
1.842523-1.638467,0.204055
1.842964-1.638467,0.204496
1.843257-1.638467,0.204790
1.844139-1.638467,0.205672
1.845167-1.638467,0.206700
1.856773-1.638467,0.218306
1.885126-1.638467,0.246659
1.885420-1.638467,0.246953
1.885714-1.638467,0.247247
1.886008-1.638467,0.247540
1.887036-1.638467,0.248569
1.888946-1.638467,0.250479
1.889681-1.638467,0.251213
1.889974-1.638467,0.251507
1.890268-1.638467,0.251801
1.891003-1.638467,0.252535
1.921853-1.638467,0.283386
1.925526-1.638467,0.287059
1.927436-1.638467,0.288969
1.927877-1.638467,0.289409
1.928758-1.638467,0.290291
1.929052-1.638467,0.290585
1.938748-1.638467,0.300280
1.947269-1.638467,0.308801
1.969599-1.638467,0.331131
1.971949-1.638467,0.333482
1.972684-1.638467,0.334216
1.973859-1.638467,0.335392
1.974593-1.638467,0.336126
1.988403-1.638467,0.349935
1.988697-1.638467,0.350229
2.003828-1.638467,0.365361
2.011174-1.638467,0.372706
2.011614-1.638467,0.373147
2.012349-1.638467,0.373882
2.013230-1.638467,0.374763
2.015581-1.638467,0.377113
2.049663-1.638467,0.411196
2.056274-1.638467,0.417807
2.060388-1.638467,0.421920
2.061122-1.638467,0.422655
2.091239-1.638467,0.452771
2.095499-1.638467,0.457032
2.098584-1.638467,0.460117
2.103432-1.638467,0.464965
2.114009-1.638467,0.475542
2.136046-1.638467,0.497578
2.168806-1.638467,0.530339
2.173801-1.638467,0.535334
2.183644-1.638467,0.545176
2.208178-1.638467,0.569710
2.215964-1.638467,0.577496
2.225807-1.638467,0.587339
2.226541-1.638467,0.588074
2.277959-1.638467,0.639491
2.312923-1.638467,0.674456
2.316890-1.638467,0.678422
2.381089-1.638467,0.742621
2.416200-1.638467,0.777732
2.442496-1.638467,0.804029
2.447197-1.638467,0.808730
2.473934-1.638467,0.835467
2.494061-1.638467,0.855594
1.652717-1.640818,0.011899
1.664764-1.640818,0.023946
1.667261-1.640818,0.026443
1.672550-1.640818,0.031732
1.672991-1.640818,0.032173
1.673285-1.640818,0.032467
1.673725-1.640818,0.032907
1.674313-1.640818,0.033495
1.674754-1.640818,0.033936
1.675048-1.640818,0.034230
1.677251-1.640818,0.036433
1.678427-1.640818,0.037608
1.689738-1.640818,0.048920
1.694586-1.640818,0.053768
1.700610-1.640818,0.059792
1.707514-1.640818,0.066696
1.716770-1.640818,0.075951
1.717063-1.640818,0.076245
1.717504-1.640818,0.076686
1.717798-1.640818,0.076980
1.718385-1.640818,0.077567
1.720589-1.640818,0.079771
1.721617-1.640818,0.080799
1.722205-1.640818,0.081387
1.722646-1.640818,0.081828
1.724115-1.640818,0.083297
1.744829-1.640818,0.104011
1.751587-1.640818,0.110769
1.756729-1.640818,0.115911
1.757022-1.640818,0.116204
1.757463-1.640818,0.116645
1.757757-1.640818,0.116939
1.758051-1.640818,0.117233
1.758491-1.640818,0.117673
1.759079-1.640818,0.118261
1.759667-1.640818,0.118849
1.759961-1.640818,0.119142
1.760401-1.640818,0.119583
1.799626-1.640818,0.158808
1.800213-1.640818,0.159395
1.800654-1.640818,0.159836
1.800948-1.640818,0.160130
1.801389-1.640818,0.160571
1.801682-1.640818,0.160864
1.802123-1.640818,0.161305
1.802564-1.640818,0.161746
1.804180-1.640818,0.163362
1.804621-1.640818,0.163803
1.805208-1.640818,0.164390
1.805502-1.640818,0.164684
1.805796-1.640818,0.164978
1.806090-1.640818,0.165272
1.806530-1.640818,0.165712
1.809469-1.640818,0.168651
1.834296-1.640818,0.193478
1.838997-1.640818,0.198179
1.841641-1.640818,0.200823
1.842523-1.640818,0.201705
1.842964-1.640818,0.202146
1.843257-1.640818,0.202439
1.844139-1.640818,0.203321
1.845167-1.640818,0.204349
1.856773-1.640818,0.215955
1.885126-1.640818,0.244308
1.885420-1.640818,0.244602
1.885714-1.640818,0.244896
1.886008-1.640818,0.245190
1.887036-1.640818,0.246218
1.888946-1.640818,0.248128
1.889681-1.640818,0.248862
1.889974-1.640818,0.249156
1.890268-1.640818,0.249450
1.891003-1.640818,0.250185
1.921853-1.640818,0.281035
1.925526-1.640818,0.284708
1.927436-1.640818,0.286618
1.927877-1.640818,0.287059
1.928758-1.640818,0.287940
1.929052-1.640818,0.288234
1.938748-1.640818,0.297930
1.947269-1.640818,0.306450
1.969599-1.640818,0.328781
1.971949-1.640818,0.331131
1.972684-1.640818,0.331866
1.973859-1.640818,0.333041
1.974593-1.640818,0.333775
1.988403-1.640818,0.347585
1.988697-1.640818,0.347879
2.003828-1.640818,0.363010
2.011174-1.640818,0.370356
2.011614-1.640818,0.370796
2.012349-1.640818,0.371531
2.013230-1.640818,0.372412
2.015581-1.640818,0.374763
2.049663-1.640818,0.408845
2.056274-1.640818,0.415456
2.060388-1.640818,0.419570
2.061122-1.640818,0.420304
2.091239-1.640818,0.450421
2.095499-1.640818,0.454681
2.098584-1.640818,0.457766
2.103432-1.640818,0.462614
2.114009-1.640818,0.473191
2.136046-1.640818,0.495228
2.168806-1.640818,0.527988
2.173801-1.640818,0.532983
2.183644-1.640818,0.542826
2.208178-1.640818,0.567360
2.215964-1.640818,0.575146
2.225807-1.640818,0.584988
2.226541-1.640818,0.585723
2.277959-1.640818,0.637141
2.312923-1.640818,0.672105
2.316890-1.640818,0.676072
2.381089-1.640818,0.740271
2.416200-1.640818,0.775382
2.442496-1.640818,0.801678
2.447197-1.640818,0.806379
2.473934-1.640818,0.833116
2.494061-1.640818,0.853243
1.664764-1.652717,0.012047
1.667261-1.652717,0.014544
1.672550-1.652717,0.019833
1.672991-1.652717,0.020273
1.673285-1.652717,0.020567
1.673725-1.652717,0.021008
1.674313-1.652717,0.021596
1.674754-1.652717,0.022036
1.675048-1.652717,0.022330
1.677251-1.652717,0.024534
1.678427-1.652717,0.025709
1.689738-1.652717,0.037021
1.694586-1.652717,0.041869
1.700610-1.652717,0.047892
1.707514-1.652717,0.054797
1.716770-1.652717,0.064052
1.717063-1.652717,0.064346
1.717504-1.652717,0.064787
1.717798-1.652717,0.065080
1.718385-1.652717,0.065668
1.720589-1.652717,0.067872
1.721617-1.652717,0.068900
1.722205-1.652717,0.069488
1.722646-1.652717,0.069928
1.724115-1.652717,0.071397
1.744829-1.652717,0.092112
1.751587-1.652717,0.098869
1.756729-1.652717,0.104011
1.757022-1.652717,0.104305
1.757463-1.652717,0.104746
1.757757-1.652717,0.105039
1.758051-1.652717,0.105333
1.758491-1.652717,0.105774
1.759079-1.652717,0.106362
1.759667-1.652717,0.106949
1.759961-1.652717,0.107243
1.760401-1.652717,0.107684
1.799626-1.652717,0.146908
1.800213-1.652717,0.147496
1.800654-1.652717,0.147937
1.800948-1.652717,0.148230
1.801389-1.652717,0.148671
1.801682-1.652717,0.148965
1.802123-1.652717,0.149406
1.802564-1.652717,0.149846
1.804180-1.652717,0.151462
1.804621-1.652717,0.151903
1.805208-1.652717,0.152491
1.805502-1.652717,0.152785
1.805796-1.652717,0.153078
1.806090-1.652717,0.153372
1.806530-1.652717,0.153813
1.809469-1.652717,0.156751
1.834296-1.652717,0.181579
1.838997-1.652717,0.186280
1.841641-1.652717,0.188924
1.842523-1.652717,0.189805
1.842964-1.652717,0.190246
1.843257-1.652717,0.190540
1.844139-1.652717,0.191421
1.845167-1.652717,0.192450
1.856773-1.652717,0.204056
1.885126-1.652717,0.232409
1.885420-1.652717,0.232703
1.885714-1.652717,0.232997
1.886008-1.652717,0.233290
1.887036-1.652717,0.234319
1.888946-1.652717,0.236228
1.889681-1.652717,0.236963
1.889974-1.652717,0.237257
1.890268-1.652717,0.237551
1.891003-1.652717,0.238285
1.921853-1.652717,0.269136
1.925526-1.652717,0.272809
1.927436-1.652717,0.274718
1.927877-1.652717,0.275159
1.928758-1.652717,0.276041
1.929052-1.652717,0.276334
1.938748-1.652717,0.286030
1.947269-1.652717,0.294551
1.969599-1.652717,0.316881
1.971949-1.652717,0.319232
1.972684-1.652717,0.319966
1.973859-1.652717,0.321141
1.974593-1.652717,0.321876
1.988403-1.652717,0.335685
1.988697-1.652717,0.335979
2.003828-1.652717,0.351111
2.011174-1.652717,0.358456
2.011614-1.652717,0.358897
2.012349-1.652717,0.359631
2.013230-1.652717,0.360513
2.015581-1.652717,0.362863
2.049663-1.652717,0.396946
2.056274-1.652717,0.403557
2.060388-1.652717,0.407670
2.061122-1.652717,0.408405
2.091239-1.652717,0.438521
2.095499-1.652717,0.442781
2.098584-1.652717,0.445867
2.103432-1.652717,0.450714
2.114009-1.652717,0.461292
2.136046-1.652717,0.483328
2.168806-1.652717,0.516089
2.173801-1.652717,0.521084
2.183644-1.652717,0.530926
2.208178-1.652717,0.555460
2.215964-1.652717,0.563246
2.225807-1.652717,0.573089
2.226541-1.652717,0.573823
2.277959-1.652717,0.625241
2.312923-1.652717,0.660206
2.316890-1.652717,0.664172
2.381089-1.652717,0.728371
2.416200-1.652717,0.763482
2.442496-1.652717,0.789779
2.447197-1.652717,0.794480
2.473934-1.652717,0.821217
2.494061-1.652717,0.841343
1.667261-1.664764,0.002497
1.672550-1.664764,0.007786
1.672991-1.664764,0.008227
1.673285-1.664764,0.008521
1.673725-1.664764,0.008961
1.674313-1.664764,0.009549
1.674754-1.664764,0.009990
1.675048-1.664764,0.010284
1.677251-1.664764,0.012487
1.678427-1.664764,0.013663
1.689738-1.664764,0.024974
1.694586-1.664764,0.029822
1.700610-1.664764,0.035846
1.707514-1.664764,0.042750
1.716770-1.664764,0.052006
1.717063-1.664764,0.052299
1.717504-1.664764,0.052740
1.717798-1.664764,0.053034
1.718385-1.664764,0.053621
1.720589-1.664764,0.055825
1.721617-1.664764,0.056853
1.722205-1.664764,0.057441
1.722646-1.664764,0.057882
1.724115-1.664764,0.059351
1.744829-1.664764,0.080065
1.751587-1.664764,0.086823
1.756729-1.664764,0.091965
1.757022-1.664764,0.092258
1.757463-1.664764,0.092699
1.757757-1.664764,0.092993
1.758051-1.664764,0.093287
1.758491-1.664764,0.093727
1.759079-1.664764,0.094315
1.759667-1.664764,0.094903
1.759961-1.664764,0.095197
1.760401-1.664764,0.095637
1.799626-1.664764,0.134862
1.800213-1.664764,0.135449
1.800654-1.664764,0.135890
1.800948-1.664764,0.136184
1.801389-1.664764,0.136625
1.801682-1.664764,0.136918
1.802123-1.664764,0.137359
1.802564-1.664764,0.137800
1.804180-1.664764,0.139416
1.804621-1.664764,0.139857
1.805208-1.664764,0.140444
1.805502-1.664764,0.140738
1.805796-1.664764,0.141032
1.806090-1.664764,0.141326
1.806530-1.664764,0.141766
1.809469-1.664764,0.144705
1.834296-1.664764,0.169532
1.838997-1.664764,0.174233
1.841641-1.664764,0.176878
1.842523-1.664764,0.177759
1.842964-1.664764,0.178200
1.843257-1.664764,0.178494
1.844139-1.664764,0.179375
1.845167-1.664764,0.180403
1.856773-1.664764,0.192009
1.885126-1.664764,0.220362
1.885420-1.664764,0.220656
1.885714-1.664764,0.220950
1.886008-1.664764,0.221244
1.887036-1.664764,0.222272
1.888946-1.664764,0.224182
1.889681-1.664764,0.224917
1.889974-1.664764,0.225210
1.890268-1.664764,0.225504
1.891003-1.664764,0.226239
1.921853-1.664764,0.257089
1.925526-1.664764,0.260762
1.927436-1.664764,0.262672
1.927877-1.664764,0.263113
1.928758-1.664764,0.263994
1.929052-1.664764,0.264288
1.938748-1.664764,0.273984
1.947269-1.664764,0.282505
1.969599-1.664764,0.304835
1.971949-1.664764,0.307185
1.972684-1.664764,0.307920
1.973859-1.664764,0.309095
1.974593-1.664764,0.309829
1.988403-1.664764,0.323639
1.988697-1.664764,0.323933
2.003828-1.664764,0.339064
2.011174-1.664764,0.346410
2.011614-1.664764,0.346850
2.012349-1.664764,0.347585
2.013230-1.664764,0.348466
2.015581-1.664764,0.350817
2.049663-1.664764,0.384899
2.056274-1.664764,0.391510
2.060388-1.664764,0.395624
2.061122-1.664764,0.396358
2.091239-1.664764,0.426475
2.095499-1.664764,0.430735
2.098584-1.664764,0.433820
2.103432-1.664764,0.438668
2.114009-1.664764,0.449245
2.136046-1.664764,0.471282
2.168806-1.664764,0.504042
2.173801-1.664764,0.509037
2.183644-1.664764,0.518880
2.208178-1.664764,0.543414
2.215964-1.664764,0.551200
2.225807-1.664764,0.561043
2.226541-1.664764,0.561777
2.277959-1.664764,0.613195
2.312923-1.664764,0.648159
2.316890-1.664764,0.652126
2.381089-1.664764,0.716325
2.416200-1.664764,0.751436
2.442496-1.664764,0.777732
2.447197-1.664764,0.782433
2.473934-1.664764,0.809171
2.494061-1.664764,0.829297
1.672550-1.667261,0.005289
1.672991-1.667261,0.005729
1.673285-1.667261,0.006023
1.673725-1.667261,0.006464
1.674313-1.667261,0.007052
1.674754-1.667261,0.007492
1.675048-1.667261,0.007786
1.677251-1.667261,0.009990
1.678427-1.667261,0.011165
1.689738-1.667261,0.022477
1.694586-1.667261,0.027325
1.700610-1.667261,0.033348
1.707514-1.667261,0.040253
1.716770-1.667261,0.049508
1.717063-1.667261,0.049802
1.717504-1.667261,0.050243
1.717798-1.667261,0.050536
1.718385-1.667261,0.051124
1.720589-1.667261,0.053328
1.721617-1.667261,0.054356
1.722205-1.667261,0.054944
1.722646-1.667261,0.055384
1.724115-1.667261,0.056853
1.744829-1.667261,0.077568
1.751587-1.667261,0.084325
1.756729-1.667261,0.089467
1.757022-1.667261,0.089761
1.757463-1.667261,0.090202
1.757757-1.667261,0.090495
1.758051-1.667261,0.090789
1.758491-1.667261,0.091230
1.759079-1.667261,0.091818
1.759667-1.667261,0.092405
1.759961-1.667261,0.092699
1.760401-1.667261,0.093140
1.799626-1.667261,0.132364
1.800213-1.667261,0.132952
1.800654-1.667261,0.133393
1.800948-1.667261,0.133687
1.801389-1.667261,0.134127
1.801682-1.667261,0.134421
1.802123-1.667261,0.134862
1.802564-1.667261,0.135302
1.804180-1.667261,0.136918
1.804621-1.667261,0.137359
1.805208-1.667261,0.137947
1.805502-1.667261,0.138241
1.805796-1.667261,0.138535
1.806090-1.667261,0.138828
1.806530-1.667261,0.139269
1.809469-1.667261,0.142207
1.834296-1.667261,0.167035
1.838997-1.667261,0.171736
1.841641-1.667261,0.174380
1.842523-1.667261,0.175261
1.842964-1.667261,0.175702
1.843257-1.667261,0.175996
1.844139-1.667261,0.176878
1.845167-1.667261,0.177906
1.856773-1.667261,0.189512
1.885126-1.667261,0.217865
1.885420-1.667261,0.218159
1.885714-1.667261,0.218453
1.886008-1.667261,0.218746
1.887036-1.667261,0.219775
1.888946-1.667261,0.221684
1.889681-1.667261,0.222419
1.889974-1.667261,0.222713
1.890268-1.667261,0.223007
1.891003-1.667261,0.223741
1.921853-1.667261,0.254592
1.925526-1.667261,0.258265
1.927436-1.667261,0.260174
1.927877-1.667261,0.260615
1.928758-1.667261,0.261497
1.929052-1.667261,0.261791
1.938748-1.667261,0.271486
1.947269-1.667261,0.280007
1.969599-1.667261,0.302337
1.971949-1.667261,0.304688
1.972684-1.667261,0.305422
1.973859-1.667261,0.306598
1.974593-1.667261,0.307332
1.988403-1.667261,0.321141
1.988697-1.667261,0.321435
2.003828-1.667261,0.336567
2.011174-1.667261,0.343912
2.011614-1.667261,0.344353
2.012349-1.667261,0.345087
2.013230-1.667261,0.345969
2.015581-1.667261,0.348319
2.049663-1.667261,0.382402
2.056274-1.667261,0.389013
2.060388-1.667261,0.393126
2.061122-1.667261,0.393861
2.091239-1.667261,0.423977
2.095499-1.667261,0.428238
2.098584-1.667261,0.431323
2.103432-1.667261,0.436170
2.114009-1.667261,0.446748
2.136046-1.667261,0.468784
2.168806-1.667261,0.501545
2.173801-1.667261,0.506540
2.183644-1.667261,0.516382
2.208178-1.667261,0.540916
2.215964-1.667261,0.548702
2.225807-1.667261,0.558545
2.226541-1.667261,0.559280
2.277959-1.667261,0.610697
2.312923-1.667261,0.645662
2.316890-1.667261,0.649628
2.381089-1.667261,0.713827
2.416200-1.667261,0.748938
2.442496-1.667261,0.775235
2.447197-1.667261,0.779936
2.473934-1.667261,0.806673
2.494061-1.667261,0.826799
1.672991-1.672550,0.000441
1.673285-1.672550,0.000735
1.673725-1.672550,0.001175
1.674313-1.672550,0.001763
1.674754-1.672550,0.002204
1.675048-1.672550,0.002498
1.677251-1.672550,0.004701
1.678427-1.672550,0.005876
1.689738-1.672550,0.017188
1.694586-1.672550,0.022036
1.700610-1.672550,0.028060
1.707514-1.672550,0.034964
1.716770-1.672550,0.044219
1.717063-1.672550,0.044513
1.717504-1.672550,0.044954
1.717798-1.672550,0.045248
1.718385-1.672550,0.045835
1.720589-1.672550,0.048039
1.721617-1.672550,0.049067
1.722205-1.672550,0.049655
1.722646-1.672550,0.050096
1.724115-1.672550,0.051565
1.744829-1.672550,0.072279
1.751587-1.672550,0.079037
1.756729-1.672550,0.084178
1.757022-1.672550,0.084472
1.757463-1.672550,0.084913
1.757757-1.672550,0.085207
1.758051-1.672550,0.085501
1.758491-1.672550,0.085941
1.759079-1.672550,0.086529
1.759667-1.672550,0.087117
1.759961-1.672550,0.087410
1.760401-1.672550,0.087851
1.799626-1.672550,0.127076
1.800213-1.672550,0.127663
1.800654-1.672550,0.128104
1.800948-1.672550,0.128398
1.801389-1.672550,0.128839
1.801682-1.672550,0.129132
1.802123-1.672550,0.129573
1.802564-1.672550,0.130014
1.804180-1.672550,0.131630
1.804621-1.672550,0.132071
1.805208-1.672550,0.132658
1.805502-1.672550,0.132952
1.805796-1.672550,0.133246
1.806090-1.672550,0.133540
1.806530-1.672550,0.133980
1.809469-1.672550,0.136919
1.834296-1.672550,0.161746
1.838997-1.672550,0.166447
1.841641-1.672550,0.169091
1.842523-1.672550,0.169973
1.842964-1.672550,0.170414
1.843257-1.672550,0.170707
1.844139-1.672550,0.171589
1.845167-1.672550,0.172617
1.856773-1.672550,0.184223
1.885126-1.672550,0.212576
1.885420-1.672550,0.212870
1.885714-1.672550,0.213164
1.886008-1.672550,0.213458
1.887036-1.672550,0.214486
1.888946-1.672550,0.216396
1.889681-1.672550,0.217130
1.889974-1.672550,0.217424
1.890268-1.672550,0.217718
1.891003-1.672550,0.218453
1.921853-1.672550,0.249303
1.925526-1.672550,0.252976
1.927436-1.672550,0.254886
1.927877-1.672550,0.255327
1.928758-1.672550,0.256208
1.929052-1.672550,0.256502
1.938748-1.672550,0.266198
1.947269-1.672550,0.274718
1.969599-1.672550,0.297049
1.971949-1.672550,0.299399
1.972684-1.672550,0.300134
1.973859-1.672550,0.301309
1.974593-1.672550,0.302043
1.988403-1.672550,0.315853
1.988697-1.672550,0.316147
2.003828-1.672550,0.331278
2.011174-1.672550,0.338623
2.011614-1.672550,0.339064
2.012349-1.672550,0.339799
2.013230-1.672550,0.340680
2.015581-1.672550,0.343031
2.049663-1.672550,0.377113
2.056274-1.672550,0.383724
2.060388-1.672550,0.387838
2.061122-1.672550,0.388572
2.091239-1.672550,0.418688
2.095499-1.672550,0.422949
2.098584-1.672550,0.426034
2.103432-1.672550,0.430882
2.114009-1.672550,0.441459
2.136046-1.672550,0.463495
2.168806-1.672550,0.496256
2.173801-1.672550,0.501251
2.183644-1.672550,0.511094
2.208178-1.672550,0.535627
2.215964-1.672550,0.543413
2.225807-1.672550,0.553256
2.226541-1.672550,0.553991
2.277959-1.672550,0.605409
2.312923-1.672550,0.640373
2.316890-1.672550,0.644340
2.381089-1.672550,0.708538
2.416200-1.672550,0.743650
2.442496-1.672550,0.769946
2.447197-1.672550,0.774647
2.473934-1.672550,0.801384
2.494061-1.672550,0.821511
1.673285-1.672991,0.000294
1.673725-1.672991,0.000735
1.674313-1.672991,0.001322
1.674754-1.672991,0.001763
1.675048-1.672991,0.002057
1.677251-1.672991,0.004260
1.678427-1.672991,0.005436
1.689738-1.672991,0.016748
1.694586-1.672991,0.021596
1.700610-1.672991,0.027619
1.707514-1.672991,0.034523
1.716770-1.672991,0.043779
1.717063-1.672991,0.044072
1.717504-1.672991,0.044513
1.717798-1.672991,0.044807
1.718385-1.672991,0.045395
1.720589-1.672991,0.047598
1.721617-1.672991,0.048627
1.722205-1.672991,0.049214
1.722646-1.672991,0.049655
1.724115-1.672991,0.051124
1.744829-1.672991,0.071838
1.751587-1.672991,0.078596
1.756729-1.672991,0.083738
1.757022-1.672991,0.084032
1.757463-1.672991,0.084472
1.757757-1.672991,0.084766
1.758051-1.672991,0.085060
1.758491-1.672991,0.085501
1.759079-1.672991,0.086088
1.759667-1.672991,0.086676
1.759961-1.672991,0.086970
1.760401-1.672991,0.087410
1.799626-1.672991,0.126635
1.800213-1.672991,0.127223
1.800654-1.672991,0.127663
1.800948-1.672991,0.127957
1.801389-1.672991,0.128398
1.801682-1.672991,0.128692
1.802123-1.672991,0.129132
1.802564-1.672991,0.129573
1.804180-1.672991,0.131189
1.804621-1.672991,0.131630
1.805208-1.672991,0.132217
1.805502-1.672991,0.132511
1.805796-1.672991,0.132805
1.806090-1.672991,0.133099
1.806530-1.672991,0.133540
1.809469-1.672991,0.136478
1.834296-1.672991,0.161305
1.838997-1.672991,0.166006
1.841641-1.672991,0.168651
1.842523-1.672991,0.169532
1.842964-1.672991,0.169973
1.843257-1.672991,0.170267
1.844139-1.672991,0.171148
1.845167-1.672991,0.172176
1.856773-1.672991,0.183782
1.885126-1.672991,0.212135
1.885420-1.672991,0.212429
1.885714-1.672991,0.212723
1.886008-1.672991,0.213017
1.887036-1.672991,0.214045
1.888946-1.672991,0.215955
1.889681-1.672991,0.216690
1.889974-1.672991,0.216983
1.890268-1.672991,0.217277
1.891003-1.672991,0.218012
1.921853-1.672991,0.248863
1.925526-1.672991,0.252535
1.927436-1.672991,0.254445
1.927877-1.672991,0.254886
1.928758-1.672991,0.255767
1.929052-1.672991,0.256061
1.938748-1.672991,0.265757
1.947269-1.672991,0.274278
1.969599-1.672991,0.296608
1.971949-1.672991,0.298958
1.972684-1.672991,0.299693
1.973859-1.672991,0.300868
1.974593-1.672991,0.301602
1.988403-1.672991,0.315412
1.988697-1.672991,0.315706
2.003828-1.672991,0.330837
2.011174-1.672991,0.338183
