Pair,Delta (microHz)
102.536740-101.239310,1.297430
102.568970-101.239310,1.329660
102.593150-101.239310,1.353840
102.633440-101.239310,1.394130
102.665670-101.239310,1.426360
102.689850-101.239310,1.450540
102.714030-101.239310,1.474720
102.730140-101.239310,1.490830
102.746260-101.239310,1.506950
102.762380-101.239310,1.523070
102.778490-101.239310,1.539180
104.970410-101.239310,3.731100
105.800440-101.239310,4.561130
105.816560-101.239310,4.577250
106.654650-101.239310,5.415340
107.234860-101.239310,5.995550
107.307390-101.239310,6.068080
107.323510-101.239310,6.084200
107.339620-101.239310,6.100310
107.355740-101.239310,6.116430
107.371860-101.239310,6.132550
107.396030-101.239310,6.156720
107.444380-101.239310,6.205070
107.484680-101.239310,6.245370
107.541090-101.239310,6.301780
107.686140-101.239310,6.446830
107.750610-101.239310,6.511300
107.847310-101.239310,6.608000
107.887600-101.239310,6.648290
107.903720-101.239310,6.664410
107.919840-101.239310,6.680530
107.935950-101.239310,6.696640
107.952070-101.239310,6.712760
107.968190-101.239310,6.728880
108.016540-101.239310,6.777230
108.056830-101.239310,6.817520
108.459760-101.239310,7.220450
108.580640-101.239310,7.341330
108.612870-101.239310,7.373560
108.637050-101.239310,7.397740
109.475130-101.239310,8.235820
110.007000-101.239310,8.767690
111.135190-101.239310,9.895880
111.159370-101.239310,9.920060
111.183540-101.239310,9.944230
111.199660-101.239310,9.960350
111.223830-101.239310,9.984520
111.256070-101.239310,10.016760
111.272190-101.239310,10.032880
111.288300-101.239310,10.048990
111.320540-101.239310,10.081230
111.344710-101.239310,10.105400
111.376950-101.239310,10.137640
111.401120-101.239310,10.161810
111.417240-101.239310,10.177930
111.441410-101.239310,10.202100
111.457530-101.239310,10.218220
111.473650-101.239310,10.234340
111.522000-101.239310,10.282690
111.538120-101.239310,10.298810
111.554230-101.239310,10.314920
111.578410-101.239310,10.339100
111.667050-101.239310,10.427740
111.852400-101.239310,10.613090
112.029690-101.239310,10.790380
112.053860-101.239310,10.814550
112.263380-101.239310,11.024070
112.360090-101.239310,11.120780
112.376200-101.239310,11.136890
112.440670-101.239310,11.201360
112.489020-101.239310,11.249710
112.529320-101.239310,11.290010
112.561550-101.239310,11.322240
112.593780-101.239310,11.354470
112.626020-101.239310,11.386710
112.682430-101.239310,11.443120
112.698540-101.239310,11.459230
112.730780-101.239310,11.491470
112.883890-101.239310,11.644580
113.834800-101.239310,12.595490
114.213550-101.239310,12.974240
114.834060-101.239310,13.594750
116.179830-101.239310,14.940520
116.212060-101.239310,14.972750
116.856750-101.239310,15.617440
117.090440-101.239310,15.851130
117.138790-101.239310,15.899480
117.171030-101.239310,15.931720
117.187150-101.239310,15.947840
117.211320-101.239310,15.972010
117.227440-101.239310,15.988130
117.573960-101.239310,16.334650
117.598130-101.239310,16.358820
117.638420-101.239310,16.399110
117.735130-101.239310,16.495820
117.751240-101.239310,16.511930
117.767360-101.239310,16.528050
117.807650-101.239310,16.568340
117.823770-101.239310,16.584460
117.839890-101.239310,16.600580
117.856000-101.239310,16.616690
117.880180-101.239310,16.640870
117.904360-101.239310,16.665050
117.936590-101.239310,16.697280
117.968820-101.239310,16.729510
117.993000-101.239310,16.753690
118.017170-101.239310,16.777860
118.049410-101.239310,16.810100
118.073580-101.239310,16.834270
118.194460-101.239310,16.955150
118.234760-101.239310,16.995450
118.266990-101.239310,17.027680
118.468450-101.239310,17.229140
118.508750-101.239310,17.269440
118.540980-101.239310,17.301670
118.581270-101.239310,17.341960
118.613510-101.239310,17.374200
118.718270-101.239310,17.478960
118.806910-101.239310,17.567600
119.548300-101.239310,18.308990
120.628140-101.239310,19.388830
120.950480-101.239310,19.711170
121.047180-101.239310,19.807870
121.111650-101.239310,19.872340
121.127770-101.239310,19.888460
